"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","extracellular matrix organization","53/655","331/18860",0.16012084592145,4.61050252531076,12.5701453044871,7.62343380482737e-21,1.69920980403202e-17,1.1966866038421e-17,"FOXF1/RAMP2/TGFBR3/TNXB/CAV1/SPOCK2/ADAMTSL3/GPM6B/ADAMTS8/FGFR4/TIE1/RGCC/MFAP4/CAV2/ENG/FBLN5/SULF1/MYH11/GREM1/GAS6/RECK/PRDX4/FBLN1/COL11A1/SLC39A8/LTBP4/FAP/PLOD2/MMP12/COL1A1/FOXF2/ADAMTS1/ITGA8/TIMP3/COL3A1/NDNF/MMP11/COL1A2/MMP1/ECM2/COL4A3/COL5A2/MMP9/BMP2/ELF3/TPSAB1/POSTN/DPT/MATN2/COL5A1/COMP/MMP7/IL6",53
"GO:0043062","extracellular structure organization","53/655","332/18860",0.159638554216867,4.59661546951163,12.541036081606,8.78351355855567e-21,1.69920980403202e-17,1.1966866038421e-17,"FOXF1/RAMP2/TGFBR3/TNXB/CAV1/SPOCK2/ADAMTSL3/GPM6B/ADAMTS8/FGFR4/TIE1/RGCC/MFAP4/CAV2/ENG/FBLN5/SULF1/MYH11/GREM1/GAS6/RECK/PRDX4/FBLN1/COL11A1/SLC39A8/LTBP4/FAP/PLOD2/MMP12/COL1A1/FOXF2/ADAMTS1/ITGA8/TIMP3/COL3A1/NDNF/MMP11/COL1A2/MMP1/ECM2/COL4A3/COL5A2/MMP9/BMP2/ELF3/TPSAB1/POSTN/DPT/MATN2/COL5A1/COMP/MMP7/IL6",53
"GO:0045229","external encapsulating structure organization","53/655","333/18860",0.159159159159159,4.58281181945304,12.5120422685825,1.01143440716191e-20,1.69920980403202e-17,1.1966866038421e-17,"FOXF1/RAMP2/TGFBR3/TNXB/CAV1/SPOCK2/ADAMTSL3/GPM6B/ADAMTS8/FGFR4/TIE1/RGCC/MFAP4/CAV2/ENG/FBLN5/SULF1/MYH11/GREM1/GAS6/RECK/PRDX4/FBLN1/COL11A1/SLC39A8/LTBP4/FAP/PLOD2/MMP12/COL1A1/FOXF2/ADAMTS1/ITGA8/TIMP3/COL3A1/NDNF/MMP11/COL1A2/MMP1/ECM2/COL4A3/COL5A2/MMP9/BMP2/ELF3/TPSAB1/POSTN/DPT/MATN2/COL5A1/COMP/MMP7/IL6",53
"GO:1901342","regulation of vasculature development","50/655","375/18860",0.133333333333333,3.83918575063613,10.5337826178771,2.58255215626726e-16,3.25401571689674e-13,2.29167522919295e-13,"CD36/CDH5/NPR1/TEK/STARD13/RAMP2/CLDN5/SASH1/JCAD/TIE1/RGCC/SEMA5A/EMP2/KLF2/CD34/ENG/FBLN5/HOXA5/QKI/GATA2/GATA6/SULF1/KLF4/TGFBR2/MDK/GREM1/RECK/CLIC3/THBS2/HYAL1/RRAS/AKT3/ADAMTS1/SEMA6A/DSG2/C5AR1/AQP1/ALOX5/COL4A3/DCN/PGK1/CXCL13/CEACAM1/ANXA3/CXCL12/ID1/CX3CR1/CHI3L1/ADGRG6/IL6",50
"GO:0045765","regulation of angiogenesis","49/655","365/18860",0.134246575342466,3.86548154344871,10.4857987578951,3.93959639233777e-16,3.97111316347648e-13,2.79669874420273e-13,"CD36/CDH5/NPR1/TEK/STARD13/RAMP2/CLDN5/SASH1/JCAD/TIE1/RGCC/SEMA5A/EMP2/KLF2/CD34/ENG/FBLN5/HOXA5/QKI/GATA2/GATA6/SULF1/KLF4/TGFBR2/MDK/GREM1/RECK/CLIC3/THBS2/HYAL1/RRAS/AKT3/ADAMTS1/SEMA6A/DSG2/C5AR1/AQP1/ALOX5/COL4A3/DCN/PGK1/CXCL13/CEACAM1/ANXA3/ID1/CX3CR1/CHI3L1/ADGRG6/IL6",49
"GO:0072001","renal system development","46/655","334/18860",0.137724550898204,3.96562599990858,10.3724995032386,1.22013958518e-15,1.0249172515512e-12,7.21808891443324e-13,"EDNRB/TEK/TCF21/PECAM1/FOXF1/AGTR1/SLIT2/CAT/CD34/WFS1/ANGPT1/SULF1/ZBTB16/KANK2/GREM1/SMAD6/SOX4/GPC3/PODXL/FGFR2/HYAL2/EPCAM/CENPF/ADAMTS1/ITGA8/TFAP2A/CDKN1C/PTCH1/MME/AGTR2/EFNB2/LGR4/AQP1/CD24/ID3/WWTR1/COL4A3/RBP4/MMP9/BMP2/EDN1/EZH2/GCNT3/HPGD/EDNRA/EGR1",46
"GO:0001822","kidney development","44/655","323/18860",0.136222910216718,3.92238791860657,10.0485648261603,7.76356008076206e-15,5.58976325814868e-12,3.93665031463604e-12,"EDNRB/TEK/TCF21/PECAM1/AGTR1/SLIT2/CAT/CD34/WFS1/ANGPT1/SULF1/ZBTB16/KANK2/GREM1/SMAD6/SOX4/GPC3/PODXL/FGFR2/HYAL2/EPCAM/CENPF/ADAMTS1/ITGA8/TFAP2A/CDKN1C/PTCH1/MME/AGTR2/EFNB2/LGR4/AQP1/CD24/ID3/WWTR1/COL4A3/MMP9/BMP2/EDN1/EZH2/GCNT3/HPGD/EDNRA/EGR1",44
"GO:0042060","wound healing","51/655","453/18860",0.112582781456954,3.24169657752389,9.16049753590958,1.27886022861002e-13,8.05681944024311e-11,5.6741009090434e-11,"CD36/AGER/PECAM1/DUOX1/VWF/CAV1/SVEP1/MACF1/CD34/ENG/THBD/GATA2/ANGPT1/CPB2/AHNAK/HBB/WFDC1/GAS6/FERMT2/MYH10/FBLN1/DST/FAP/MMP12/HBEGF/TIMP1/SERPING1/SLC6A4/MYLK/MYL9/F8/COL3A1/CLDN4/NDNF/CLDN3/AQP1/PLAU/ALOX5/ANXA8/F2RL1/PROS1/CEACAM1/MCAM/EDN1/DSP/COL5A1/COMP/SLC7A11/PLA2G4A/IL6/TFPI2",51
"GO:0031589","cell-substrate adhesion","45/655","369/18860",0.121951219512195,3.51145038167939,9.24149482577279,2.2157321413986e-13,1.24080999918322e-10,8.73853658572641e-11,"FAM107A/CD36/TEK/PECAM1/VWF/FOXF1/TNXB/SPOCK2/GPM6B/ARHGAP6/SVEP1/LIMS2/EMP2/LYVE1/MACF1/CD34/FBLN5/DLC1/ANGPT1/LIMCH1/MDK/GREM1/GAS6/PLPP3/SMAD6/FERMT2/FBLN1/PIK3R1/SORBS1/RRAS/MMP12/COL1A1/ITGA8/COL13A1/COL3A1/NDNF/NEDD9/PLAU/ECM2/SLK/POSTN/CDKN2A/AGR2/CCN2/MUC4",45
"GO:0050878","regulation of body fluid levels","44/655","389/18860",0.113110539845758,3.25689279616947,8.53149548800271,5.55030800927309e-12,2.79735523667364e-09,1.97006722181777e-09,"CD36/EDNRB/NPR1/VWF/CAV1/SVEP1/NME1/HEG1/EMP2/THBD/CDO1/WFS1/ANGPT1/CPB2/HBB/GAS6/FBLN1/AQP4/FLI1/FAP/HYAL2/SERPING1/STK39/SLC6A4/NPR3/MYL9/F8/COL3A1/KCNN4/SOCS2/AQP1/GPI/PLAU/ANXA8/F2RL1/PROS1/CEACAM1/EDN1/COMP/AGR2/SLC7A11/PLA2G4A/IL6/TFPI2",44
